result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,1.29,5.5,11.0,3,3,4,9,13,153,81,100,56,5,2,3,19,12,140,78,139,74
H,1.8,3.5,4.75,0,3,7,4,26,104,59,148,89,2,2,6,6,14,98,48,118,58
H,2.4,3.5,3.1,6,2,2,18,10,131,47,74,28,5,4,1,17,11,142,45,75,25
H,2.37,3.2,2.9,4,2,4,10,10,109,64,110,59,4,2,4,11,10,94,47,136,65
H,1.9,3.25,4.0,4,2,4,13,11,111,53,97,54,2,2,6,6,12,108,49,146,69
H,1.2,6.5,15.0,8,0,2,22,10,189,105,73,37,3,2,5,11,19,126,67,131,76
H,6.5,4.0,1.53,2,2,6,4,15,130,62,104,59,7,1,2,16,8,160,90,74,43
H,1.22,7.0,15.0,5,1,4,18,16,140,48,75,27,4,0,6,12,26,105,38,134,54
H,2.63,3.4,2.88,0,3,7,10,20,94,37,162,50,3,2,5,17,19,147,46,127,47
H,2.9,3.1,2.6,3,1,6,11,19,94,34,221,73,3,3,4,9,9,94,29,126,34
H,1.3,5.0,12.0,9,1,0,25,8,164,101,116,68,2,0,8,12,25,117,84,161,102
H,1.67,3.6,5.5,1,4,5,7,15,125,60,123,56,4,3,3,10,9,91,43,137,88
H,1.36,5.25,10.0,3,4,3,14,12,138,47,138,48,2,2,6,5,10,102,26,136,50
H,2.1,3.5,3.75,6,2,2,18,17,137,36,129,49,5,3,2,15,12,166,53,125,42
H,1.44,4.33,7.5,3,5,2,16,11,115,70,140,86,3,3,4,12,19,98,57,130,70
H,2.8,3.25,2.8,4,2,4,12,10,128,37,127,40,3,1,6,8,10,107,32,102,33
H,2.1,3.4,3.5,2,1,7,6,19,135,59,119,64,3,4,3,9,12,113,51,123,68
H,1.8,3.5,4.5,3,3,4,13,16,111,38,145,47,3,1,6,10,21,111,35,136,50
H,2.8,3.2,2.8,1,4,5,5,12,129,29,119,42,4,1,5,18,20,160,46,110,47
H,5.5,3.5,1.66,5,1,4,11,15,105,57,128,66,5,2,3,18,7,113,69,101,52
H,2.1,3.4,3.9,5,3,2,15,11,92,42,134,42,3,0,7,6,23,161,53,131,51
H,2.9,3.25,2.7,3,0,7,11,21,117,36,139,61,0,4,6,7,23,148,50,127,50
H,2.8,3.25,2.4,3,2,5,11,15,111,61,115,58,4,2,4,16,17,137,79,107,57
H,2.1,3.4,4.0,2,4,4,7,10,93,28,131,34,2,2,6,15,24,98,42,148,52
H,1.67,3.8,6.0,5,2,3,14,14,129,57,170,48,1,4,5,7,14,111,51,135,56
H,1.66,3.4,5.5,2,2,6,11,18,97,43,122,60,1,2,7,4,15,100,51,114,65
H,2.63,3.4,2.88,4,2,4,18,17,172,49,92,41,4,3,3,16,11,178,47,98,35
H,2.0,3.4,3.8,2,5,3,13,15,115,44,135,72,4,0,6,12,17,114,66,119,72
H,1.73,3.8,5.5,4,2,4,12,7,134,42,106,36,4,5,1,13,7,138,49,153,39
H,1.9,3.25,4.0,2,4,4,8,11,93,49,146,68,3,0,7,4,11,88,45,133,63
H,1.95,3.4,4.5,2,3,5,7,16,107,30,126,50,3,2,5,8,16,95,29,168,59
