result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,2.3,3.0,3.3,4,6,0,10,4,122,40,126,31,5,2,3,11,8,105,38,105,31
H,2.1,3.1,3.8,4,2,4,13,9,142,52,109,35,5,3,2,12,6,124,41,85,24
H,1.11,10.0,21.0,8,2,0,34,8,152,72,104,29,7,2,1,11,5,108,38,117,26
H,2.1,3.25,3.8,2,5,3,8,15,100,28,132,50,2,2,6,8,15,96,29,104,36
H,2.0,3.1,4.33,2,4,4,6,9,136,41,113,40,1,1,8,8,16,100,33,129,44
H,1.14,8.0,21.0,7,2,1,23,6,149,61,85,20,2,3,5,4,12,93,24,124,39
H,2.2,3.0,3.6,1,5,4,7,12,122,29,118,42,4,2,4,13,15,105,46,121,50
H,2.7,2.9,3.0,2,2,6,5,13,101,22,135,48,3,4,3,7,12,116,43,135,45
H,1.57,4.0,6.0,5,2,3,21,16,143,54,94,31,5,3,2,16,11,121,44,125,40
H,1.85,3.4,4.75,2,5,3,6,8,85,24,149,59,1,3,6,6,15,121,32,112,35
H,2.2,3.1,3.6,2,3,5,9,12,101,33,129,37,5,0,5,10,12,112,33,134,37
H,2.4,3.2,3.1,4,4,2,8,6,139,41,85,35,7,3,0,23,6,124,59,117,36
H,3.0,2.75,2.4,1,5,4,9,13,92,37,94,47,4,2,4,11,7,81,39,75,28
H,2.25,3.0,3.5,6,3,1,12,6,95,38,111,35,4,4,2,14,11,101,43,145,51
H,1.36,4.5,9.5,6,2,2,23,14,154,67,76,36,4,3,3,10,10,94,34,138,50
H,1.14,9.0,15.0,8,2,0,32,4,188,78,86,20,4,6,0,17,11,131,50,100,36
H,3.1,3.1,2.4,1,3,6,8,14,126,41,118,44,2,7,1,11,10,141,41,128,43
H,2.5,3.0,3.0,4,6,0,10,5,99,43,142,43,2,7,1,6,4,148,48,98,29
H,1.72,3.0,5.0,5,2,3,14,8,87,40,92,37,4,0,6,9,10,98,47,122,55
H,1.17,6.5,19.0,3,3,4,16,19,156,46,133,52,1,1,8,9,24,84,27,173,62
H,1.91,3.3,4.2,3,2,5,14,15,117,41,95,37,2,5,3,10,15,110,38,103,41
H,1.73,3.4,5.25,3,3,4,9,14,94,37,131,47,1,5,4,7,11,92,32,127,45
H,2.25,2.8,3.2,2,4,4,13,13,104,42,92,35,3,5,2,13,12,102,43,99,42
H,1.8,3.2,5.0,4,3,3,13,11,108,33,133,51,3,3,4,12,9,116,36,126,44
