result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,2.4,3.3,2.9,5,0,5,16,15,134,57,164,73,7,0,3,17,9,134,74,145,59
H,1.8,3.4,4.5,4,5,1,16,8,135,78,125,69,3,4,3,16,15,109,67,158,92
H,2.38,3.4,3.0,5,2,3,15,16,120,46,162,68,4,3,3,10,13,93,39,129,42
H,1.9,3.6,4.0,2,1,7,11,21,92,31,125,53,1,3,6,11,20,112,41,154,56
H,2.0,3.5,3.6,3,4,3,15,18,107,41,146,59,2,2,6,9,17,132,44,138,53
H,1.66,4.0,4.75,6,2,2,16,9,151,54,124,43,5,0,5,21,22,119,53,161,68
H,2.4,3.3,2.9,5,2,3,18,15,154,56,115,50,4,3,3,16,15,146,54,118,41
H,2.7,3.4,2.62,3,0,7,6,22,110,26,163,56,3,4,3,13,16,119,46,175,54
H,1.5,4.33,6.0,8,1,1,21,9,139,55,143,41,4,1,5,13,18,155,49,94,40
H,9.0,5.0,1.36,0,1,9,4,21,96,23,151,49,5,4,1,19,11,145,54,95,31
H,1.5,4.33,6.5,3,5,2,14,14,188,56,90,40,3,2,5,10,13,91,39,133,47
H,2.0,3.4,3.75,5,2,3,11,7,151,52,109,43,5,3,2,13,13,115,49,133,47
H,2.25,3.3,3.2,6,1,3,16,13,125,41,122,45,2,3,5,9,14,97,34,156,53
H,2.7,3.4,2.6,3,4,3,15,17,144,54,156,63,2,2,6,13,19,128,51,132,39
H,1.57,4.1,5.5,4,2,4,17,21,145,54,117,45,2,2,6,8,11,111,37,126,43
H,2.05,3.5,3.6,8,2,0,26,9,96,45,138,46,4,1,5,11,12,104,37,140,40
H,2.05,3.5,3.4,5,1,4,13,12,160,53,158,52,2,3,5,11,19,112,40,124,42
H,3.25,3.3,2.2,5,2,3,19,16,119,49,164,52,7,2,1,25,12,150,69,118,49
H,1.57,3.8,6.0,4,3,3,11,11,135,46,114,43,2,2,6,11,19,146,44,165,67
H,2.54,3.39,2.7,7,0,3,15,8,107,47,125,40,6,3,1,17,14,125,48,127,52
H,1.25,6.0,10.0,7,1,2,22,12,177,61,86,39,6,3,1,22,12,176,62,98,31
H,2.9,3.5,2.3,5,1,4,15,16,133,53,125,56,6,2,2,17,8,173,62,135,37
H,1.22,6.5,11.0,6,2,2,25,12,220,84,84,30,5,1,4,15,14,142,49,147,50
H,2.25,3.4,3.1,7,1,2,21,8,120,47,139,43,6,2,2,23,17,124,53,125,47
H,1.8,3.5,4.5,4,4,2,15,12,135,56,140,44,2,5,3,13,14,142,51,103,47
H,1.18,6.5,15.0,6,3,1,22,9,166,68,91,32,3,4,3,11,9,93,32,125,41
H,1.2,7.0,11.0,7,1,2,27,13,171,67,90,40,3,4,3,13,12,119,36,123,40
H,1.07,13.0,26.0,7,2,1,33,4,189,74,90,27,4,0,6,12,17,105,32,168,62
H,3.4,3.6,2.1,4,3,3,12,18,101,36,148,52,3,3,4,14,15,134,54,142,53
