result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,2.5,2.87,3.0,2,1,7,5,15,74,32,94,50,2,5,3,15,12,107,59,91,40
H,2.3,3.2,3.2,1,2,7,8,18,120,40,127,48,3,2,5,12,13,124,33,147,57
H,1.75,3.5,4.75,5,1,4,18,14,160,70,107,37,3,4,3,9,10,149,29,139,45
H,2.75,3.1,2.75,2,3,5,8,13,83,22,139,48,5,1,4,13,10,117,43,131,47
H,2.05,3.1,4.0,3,2,5,8,14,128,36,98,42,2,7,1,9,7,111,43,139,45
H,3.5,3.1,2.2,2,2,6,7,14,107,29,171,57,7,1,2,13,8,144,44,146,38
H,1.85,3.4,4.33,1,5,4,10,11,100,34,162,45,1,7,2,10,14,108,31,169,56
H,6.5,4.1,1.53,3,1,6,8,16,104,29,135,48,7,2,1,18,12,167,72,108,36
H,1.44,4.0,8.5,5,5,0,18,4,207,68,93,28,5,0,5,15,19,122,51,107,38
H,4.5,3.6,1.83,3,4,3,17,13,138,51,161,45,6,2,2,18,10,150,49,120,40
H,2.15,3.3,3.5,1,4,5,10,17,109,30,156,52,3,2,5,10,16,132,36,157,51
H,1.22,6.0,15.0,5,2,3,14,10,159,55,85,23,1,5,4,4,8,104,25,100,29
H,1.95,3.3,4.0,4,3,3,9,7,144,50,129,36,4,1,5,15,21,138,47,175,54
H,1.85,3.3,4.5,6,1,3,14,10,150,56,163,37,6,1,3,16,9,134,50,102,36
H,1.28,5.75,10.0,8,0,2,19,7,174,53,120,40,4,2,4,9,11,95,27,133,39
H,1.6,4.6,4.75,2,5,3,15,20,152,41,133,37,4,3,3,20,16,99,47,164,57
H,1.44,4.2,7.5,5,4,1,18,11,169,65,108,38,3,1,6,12,17,134,41,142,60
H,1.6,3.6,6.25,6,2,2,14,9,175,47,129,40,2,3,5,15,24,136,53,188,73
H,1.5,3.75,7.5,5,2,3,18,13,132,45,109,47,3,1,6,9,18,123,44,161,65
H,1.4,4.33,8.0,4,3,3,12,10,145,45,150,42,1,2,7,4,15,91,33,153,46
H,1.28,5.5,10.0,7,2,1,19,5,140,72,77,37,0,6,4,9,16,85,47,104,55
H,1.44,3.75,8.5,5,3,2,17,7,115,60,80,28,0,4,6,4,12,95,47,104,54
H,1.18,7.5,15.0,7,2,1,13,5,160,61,70,23,4,1,5,17,18,99,37,138,52
H,3.5,3.5,2.1,1,1,8,8,19,133,45,140,53,4,1,5,18,17,138,50,147,53
H,1.55,4.2,6.0,3,2,5,20,23,173,70,133,54,3,2,5,13,16,98,37,143,47
H,1.36,4.75,9.5,8,2,0,22,8,111,61,92,38,3,3,4,8,11,100,40,102,57
H,2.4,3.1,3.1,5,2,3,14,11,143,46,134,43,4,2,4,14,14,169,56,159,52
H,1.22,6.5,13.0,3,4,3,18,13,181,69,117,47,5,0,5,19,21,136,55,163,59
H,1.4,4.75,8.0,6,1,3,16,14,128,38,144,43,1,4,5,9,15,117,36,158,52
H,2.55,2.9,3.1,4,2,4,9,8,109,38,129,37,0,6,4,7,12,103,32,118,42
H,1.33,5.0,10.0,3,4,3,14,11,181,49,103,32,4,3,3,13,12,131,37,137,55
H,1.8,3.79,4.33,2,0,8,11,28,104,32,153,60,3,0,7,7,20,69,17,202,67
H,1.28,5.0,12.0,4,2,4,15,9,149,53,136,41,3,3,4,12,17,154,49,135,47
H,1.5,4.33,6.5,5,1,4,18,15,133,47,142,55,1,2,7,11,25,126,37,190,65
H,1.44,4.33,7.0,4,3,3,19,19,156,60,139,49,1,3,6,6,16,153,50,114,45
H,2.05,2.87,4.5,4,3,3,13,13,140,51,154,53,3,3,4,9,9,130,38,142,36
H,2.5,2.87,3.0,4,3,3,14,19,85,44,126,66,2,4,4,8,11,100,38,99,58
H,1.36,5.0,9.0,7,1,2,16,6,124,59,85,44,4,2,4,16,19,100,53,117,61
H,2.0,3.0,4.33,5,2,3,12,7,101,36,121,41,3,3,4,11,11,109,32,178,64
H,1.44,4.2,7.5,4,4,2,11,9,128,43,121,40,6,1,3,17,15,149,44,137,46
H,2.1,3.25,3.5,4,3,3,13,14,131,40,135,39,3,5,2,10,10,128,39,98,41
H,1.5,3.8,7.25,6,3,1,18,9,131,54,144,59,5,1,4,12,10,145,47,108,42
H,2.38,3.0,3.2,1,2,7,10,17,109,30,158,54,1,3,6,8,16,105,40,149,50
H,2.5,3.4,2.8,3,1,6,12,26,92,39,168,58,2,2,6,12,17,129,44,157,53
H,1.36,4.75,8.5,8,1,1,26,12,169,72,124,42,1,6,3,7,16,145,34,145,56
H,2.6,3.1,2.8,2,5,3,8,8,126,35,97,35,4,2,4,9,11,140,49,128,42
H,2.2,3.0,3.6,3,3,4,15,15,120,41,136,46,4,4,2,16,11,122,49,143,36
H,5.0,3.2,1.83,3,2,5,9,14,133,37,181,62,5,1,4,11,13,181,56,128,45
H,2.5,3.0,3.0,3,2,5,12,14,135,44,99,35,5,2,3,15,9,159,61,94,30
H,1.66,3.2,6.0,0,4,6,9,23,72,33,143,76,0,3,7,6,18,85,32,148,76
H,2.3,3.2,3.3,5,1,4,13,13,130,42,104,44,4,3,3,13,9,127,45,100,37
