result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,1.75,3.6,4.75,0,6,4,8,16,100,27,118,54,3,2,5,11,16,119,30,127,43
H,1.72,3.3,5.0,5,0,5,9,7,141,50,114,35,3,5,2,11,11,107,31,113,33
H,1.57,3.75,6.0,2,1,7,15,19,116,43,130,57,3,4,3,6,9,89,31,150,31
H,1.4,4.75,8.0,7,0,3,17,9,98,45,138,46,1,4,5,11,19,103,41,152,52
H,1.66,4.0,5.0,8,1,1,29,10,118,57,140,52,4,3,3,21,14,123,58,128,45
H,1.22,5.5,13.0,8,1,1,26,15,139,65,131,45,3,2,5,7,10,113,30,133,34
H,1.6,3.75,5.75,5,1,4,18,12,126,58,103,34,2,3,5,12,13,128,42,124,43
H,2.1,3.4,3.4,6,1,3,20,18,126,57,146,56,6,2,2,18,9,117,42,133,51
H,2.1,3.2,3.6,2,3,5,10,13,123,39,130,47,1,2,7,9,14,150,44,137,54
H,2.05,3.4,3.75,2,2,6,9,15,84,30,140,46,2,2,6,7,17,120,47,122,53
H,1.83,3.5,4.2,6,3,1,20,10,161,67,117,38,4,1,5,14,20,134,53,135,58
H,1.22,7.0,12.0,8,1,1,30,8,160,78,98,29,7,3,0,18,4,124,44,86,21
H,1.8,3.6,4.33,3,3,4,12,13,109,31,174,50,5,1,4,11,19,111,33,151,57
H,2.63,3.3,2.63,3,2,5,14,14,152,50,150,61,5,3,2,14,10,168,52,95,25
H,2.0,3.4,3.75,2,3,5,10,18,109,35,124,60,6,1,3,13,11,111,35,129,46
H,1.4,4.75,8.0,5,2,3,11,7,127,49,133,40,2,4,4,12,17,128,41,138,45
H,1.7,3.6,5.25,5,0,5,17,21,103,46,143,59,8,1,1,24,12,129,47,118,41
H,1.53,4.1,6.0,2,2,6,14,19,147,56,98,37,2,4,4,7,8,127,43,115,35
H,2.75,3.4,2.55,1,1,8,7,29,101,35,134,55,6,2,2,16,7,147,54,88,30
H,2.0,3.5,3.8,1,3,6,11,22,97,30,147,57,3,1,6,10,17,90,34,150,55
H,1.73,3.5,5.0,3,4,3,11,10,141,47,114,39,4,2,4,10,13,121,41,188,62
H,2.9,3.25,2.4,4,2,4,8,11,118,36,120,51,7,2,1,16,8,123,46,115,39
H,6.5,4.5,1.5,5,4,1,20,15,142,51,111,38,9,1,0,29,4,174,78,78,22
H,1.18,7.5,12.0,6,2,2,26,12,184,78,108,35,6,0,4,15,10,130,46,132,48
H,1.44,4.2,7.5,5,2,3,20,14,110,48,110,39,1,3,6,7,20,140,34,113,49
H,1.75,3.75,4.75,5,1,4,21,16,136,48,138,48,6,2,2,12,10,130,47,114,39
H,1.44,4.5,7.5,4,3,3,11,11,111,40,159,42,1,4,5,6,15,97,32,129,50
H,1.14,7.5,17.0,8,1,1,25,4,137,66,83,18,4,1,5,10,11,102,35,179,57
H,1.1,9.0,21.0,9,1,0,26,4,156,74,63,23,5,2,3,10,11,139,44,105,41
