result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,1.72,3.79,4.5,4,3,3,19,12,84,37,101,45,1,1,8,8,19,95,43,85,49
H,1.28,5.0,11.0,6,1,3,18,14,102,61,78,37,3,3,4,13,15,66,32,84,42
H,2.2,3.2,3.39,5,1,4,15,14,79,32,96,45,3,1,6,10,13,83,35,92,47
H,2.0,3.4,3.7,2,4,4,11,19,130,41,106,56,1,5,4,8,12,97,35,103,36
H,2.39,3.2,3.0,1,4,5,9,15,66,32,120,66,4,2,4,13,13,79,34,85,40
H,7.5,3.79,1.5,3,4,3,12,11,82,43,82,41,7,1,2,26,7,125,64,71,31
H,1.75,4.2,3.8,4,4,2,16,8,131,58,100,37,2,1,7,13,22,158,48,143,50
H,2.54,3.2,2.75,2,1,7,12,24,78,39,95,47,5,1,4,17,17,88,44,96,48
H,1.44,4.33,7.0,3,4,3,8,9,74,40,72,38,1,1,8,3,23,79,32,102,58
H,2.37,3.25,3.0,4,2,4,12,8,97,40,88,26,4,3,3,15,13,106,51,102,43
H,1.18,6.5,15.0,7,1,2,19,7,128,53,79,41,3,0,7,12,25,71,28,96,54
H,1.72,3.4,5.25,2,5,3,12,12,113,39,115,45,6,1,3,14,8,100,40,133,46
H,1.57,4.0,5.75,5,2,3,17,15,154,57,131,59,2,3,5,10,20,109,36,144,52
H,1.61,4.0,5.0,1,6,3,11,15,141,41,140,43,6,2,2,18,9,94,33,122,39
H,1.28,5.0,11.0,5,3,2,20,10,98,45,74,35,2,5,3,12,11,91,42,87,39
H,3.39,3.1,2.25,6,2,2,20,10,111,75,85,37,7,2,1,24,9,145,78,73,39
H,2.25,3.5,3.0,3,2,5,15,18,89,38,99,49,2,2,6,8,14,87,35,99,52
H,1.9,3.4,4.0,4,1,5,19,18,141,53,116,45,3,3,4,14,16,81,32,116,45
H,3.5,3.4,2.04,4,1,5,11,13,97,41,101,27,6,3,1,23,13,135,56,99,44
H,1.33,5.0,9.0,5,1,4,19,17,96,55,76,37,5,2,3,16,14,91,48,106,42
H,1.22,5.5,15.0,7,2,1,21,7,105,60,80,36,0,1,9,3,18,93,35,82,44
H,2.37,3.2,3.0,4,3,3,7,7,79,38,69,35,4,3,3,10,14,88,43,98,51
H,1.44,4.5,6.5,7,1,2,19,10,104,47,80,34,2,3,5,10,16,78,37,127,47
H,1.75,3.6,4.5,6,0,4,22,19,142,56,153,55,3,2,5,13,15,108,46,125,40
H,1.36,5.0,7.5,8,1,1,26,9,118,59,85,44,3,0,7,8,14,82,32,83,34
H,1.44,4.5,6.5,5,4,1,25,18,141,66,109,42,2,3,5,11,14,105,27,108,44
H,2.4,3.3,2.9,5,2,3,15,12,130,51,96,36,4,4,2,17,14,142,45,102,33
H,2.39,3.2,3.0,1,2,7,6,19,55,26,92,41,4,4,2,16,12,82,41,92,42
H,1.85,3.75,3.8,1,3,6,11,15,130,41,136,42,2,1,7,10,18,125,45,157,52
H,2.3,3.25,3.1,6,3,1,14,4,120,41,110,25,5,3,2,19,13,145,56,96,43
H,1.66,3.75,5.0,3,4,3,13,11,104,48,101,61,3,2,5,11,19,72,27,95,44
H,1.33,5.25,8.0,7,2,1,21,8,92,55,68,30,2,2,6,12,21,69,37,90,40
H,2.45,3.25,2.87,2,3,5,10,19,82,42,108,58,4,3,3,7,7,77,37,71,36
